2025-01-31,300394.XSHE,002050.XSHE,688256.XSHG,000538.XSHE,601328.XSHG,601229.XSHG,601169.XSHG,600183.XSHG,600219.XSHG,002304.XSHE,000895.XSHE,600015.XSHG,300033.XSHE,300661.XSHE,300502.XSHE,600919.XSHG,601166.XSHG,600926.XSHG,601009.XSHG,600016.XSHG,601825.XSHG,600036.XSHG,601998.XSHG,600660.XSHG,002001.XSHE,600018.XSHG,601988.XSHG,601939.XSHG,601398.XSHG,601818.XSHG,601689.XSHG,000001.XSHE,601658.XSHG,000333.XSHE,688303.XSHG,002594.XSHE,002311.XSHE,603993.XSHG,600938.XSHG,600019.XSHG,600000.XSHG,600989.XSHG,601899.XSHG,601728.XSHG,601288.XSHG,600362.XSHG,600031.XSHG,000157.XSHE,601838.XSHG,600346.XSHG
2025-02-28,300394.XSHE,688506.XSHG,600183.XSHG,002916.XSHE,002837.XSHE,000895.XSHE,600011.XSHG,600036.XSHG,600019.XSHG,601229.XSHG,688009.XSHG,600519.XSHG,601390.XSHG,301308.XSHE,000858.XSHE,000333.XSHE,600887.XSHG,600039.XSHG,601398.XSHG,600023.XSHG,000001.XSHE,600000.XSHG,601988.XSHG,601360.XSHG,000708.XSHE,600900.XSHG,002142.XSHE,601825.XSHG,600018.XSHG,601668.XSHG,601166.XSHG,601939.XSHG,601328.XSHG,600415.XSHG,600919.XSHG,002371.XSHE,601800.XSHG,002311.XSHE,600016.XSHG,000538.XSHE,601018.XSHG,600015.XSHG,600188.XSHG,600028.XSHG,601169.XSHG,002074.XSHE,301236.XSHE,603501.XSHG,600989.XSHG,000568.XSHE
2025-03-31,688111.XSHG,688256.XSHG,301236.XSHE,601825.XSHG,600588.XSHG,601169.XSHG,601328.XSHG,600023.XSHG,601229.XSHG,600795.XSHG,000895.XSHE,688009.XSHG,600900.XSHG,601009.XSHG,600660.XSHG,600919.XSHG,002837.XSHE,002001.XSHE,000776.XSHE,601988.XSHG,601398.XSHG,601601.XSHG,000538.XSHE,300476.XSHE,600011.XSHG,600000.XSHG,300628.XSHE,000001.XSHE,600018.XSHG,601077.XSHG,601288.XSHG,601766.XSHG,601658.XSHG,601668.XSHG,601390.XSHG,601818.XSHG,601166.XSHG,601186.XSHG,601318.XSHG,601919.XSHG,601857.XSHG,600941.XSHG,600674.XSHG,600219.XSHG,002304.XSHE,600188.XSHG,301165.XSHE,601006.XSHG,601838.XSHG,000999.XSHE
2025-04-30,688183.XSHG,002938.XSHE,300274.XSHE,300661.XSHE,300433.XSHE,002475.XSHE,600011.XSHG,601825.XSHG,601818.XSHG,600886.XSHG,000651.XSHE,603259.XSHG,688506.XSHG,002384.XSHE,300866.XSHE,601398.XSHG,600795.XSHG,601169.XSHG,000858.XSHE,000001.XSHE,601186.XSHG,600585.XSHG,603296.XSHG,601998.XSHG,600000.XSHG,600900.XSHG,600926.XSHG,600919.XSHG,600887.XSHG,601838.XSHG,601006.XSHG,601166.XSHG,002600.XSHE,600039.XSHG,600023.XSHG,002241.XSHE,001965.XSHE,600016.XSHG,300124.XSHE,300999.XSHE,002352.XSHE,000776.XSHE,000596.XSHE,603288.XSHG,601318.XSHG,600941.XSHG,601668.XSHG,601009.XSHG,601390.XSHG,600660.XSHG
2025-05-31,601006.XSHG,601857.XSHG,000001.XSHE,601169.XSHG,600016.XSHG,601009.XSHG,600028.XSHG,600941.XSHG,600233.XSHG,601825.XSHG,601229.XSHG,600795.XSHG,600036.XSHG,600887.XSHG,601766.XSHG,601390.XSHG,601186.XSHG,600938.XSHG,601225.XSHG,603893.XSHG,000708.XSHE,600196.XSHG,601398.XSHG,601668.XSHG,601818.XSHG,301308.XSHE,600926.XSHG,600018.XSHG,601318.XSHG,000858.XSHE,688256.XSHG,600011.XSHG,688009.XSHG,600426.XSHG,600188.XSHG,600362.XSHG,600900.XSHG,603288.XSHG,000651.XSHE,000338.XSHE,601288.XSHG,000538.XSHE,002027.XSHE,601336.XSHG,600519.XSHG,688183.XSHG,601838.XSHG,600886.XSHG,000963.XSHE,603986.XSHG
2025-06-30,600219.XSHG,600795.XSHG,000157.XSHE,002384.XSHE,002142.XSHE,601186.XSHG,002463.XSHE,601668.XSHG,601818.XSHG,601006.XSHG,301165.XSHE,002371.XSHE,600023.XSHG,600011.XSHG,600741.XSHG,600570.XSHG,600406.XSHG,600089.XSHG,000651.XSHE,300803.XSHE,300476.XSHE,002074.XSHE,000001.XSHE,300274.XSHE,002027.XSHE,600039.XSHG,600919.XSHG,601919.XSHG,002594.XSHE,600009.XSHG,002236.XSHE,600875.XSHG,601398.XSHG,600031.XSHG,000166.XSHE,688009.XSHG,601169.XSHG,300866.XSHE,600160.XSHG,603259.XSHG,000708.XSHE,603993.XSHG,600515.XSHG,000538.XSHE,600893.XSHG,600522.XSHG,688303.XSHG,600118.XSHG,300408.XSHE,601698.XSHG
2025-07-31,600741.XSHG,000651.XSHE,601919.XSHG,601318.XSHG,603799.XSHG,601669.XSHG,300476.XSHE,300308.XSHE,002938.XSHE,600111.XSHG,600010.XSHG,600886.XSHG,300502.XSHE,601668.XSHG,600015.XSHG,601288.XSHG,002230.XSHE,600426.XSHG,601658.XSHG,600183.XSHG,002916.XSHE,002384.XSHE,300122.XSHE,601169.XSHG,000001.XSHE,300628.XSHE,000333.XSHE,600196.XSHG,601336.XSHG,300033.XSHE,002027.XSHE,601766.XSHG,600219.XSHG,601600.XSHG,600919.XSHG,601838.XSHG,600028.XSHG,301165.XSHE,000895.XSHE,688082.XSHG,603986.XSHG,601698.XSHG,600276.XSHG,688256.XSHG,605117.XSHG,601988.XSHG,601939.XSHG,000625.XSHE,601360.XSHG,000977.XSHE
2025-08-31,300408.XSHE,000333.XSHE,688082.XSHG,601668.XSHG,600019.XSHG,600015.XSHG,601919.XSHG,600023.XSHG,600219.XSHG,002920.XSHE,600741.XSHG,600887.XSHG,601319.XSHG,003816.XSHE,000858.XSHE,603288.XSHG,000001.XSHE,688183.XSHG,002241.XSHE,688008.XSHG,002600.XSHE,600118.XSHG,300308.XSHE,002709.XSHE,300999.XSHE,601818.XSHG,601077.XSHG,000895.XSHE,601229.XSHG,601601.XSHG,600016.XSHG,601169.XSHG,688036.XSHG,688271.XSHG,600938.XSHG,601127.XSHG,300014.XSHE,601066.XSHG,601600.XSHG,600600.XSHG,000538.XSHE,300015.XSHE,600519.XSHG,601166.XSHG,601857.XSHG,600460.XSHG,002475.XSHE,002625.XSHE,300433.XSHE,000063.XSHE
2025-09-30,002558.XSHE,601689.XSHG,300476.XSHE,601600.XSHG,000708.XSHE,002027.XSHE,603296.XSHG,300316.XSHE,688082.XSHG,002709.XSHE,688183.XSHG,002938.XSHE,002920.XSHE,600585.XSHG,600039.XSHG,000792.XSHE,600999.XSHG,600019.XSHG,601766.XSHG,600515.XSHG,001979.XSHE,600015.XSHG,601668.XSHG,002371.XSHE,002202.XSHE,600183.XSHG,300274.XSHE,601138.XSHG,002463.XSHE,002384.XSHE,605499.XSHG,000333.XSHE,600023.XSHG,002837.XSHE,600188.XSHG,601868.XSHG,688009.XSHG,601186.XSHG,000895.XSHE,000617.XSHE,000858.XSHE,600031.XSHG,601127.XSHG,002230.XSHE,002415.XSHE,600926.XSHG,601166.XSHG,601816.XSHG,600028.XSHG,600900.XSHG
2025-10-31,301165.XSHE,688183.XSHG,601138.XSHG,300502.XSHE,002558.XSHE,600547.XSHG,603986.XSHG,600115.XSHG,688036.XSHG,600741.XSHG,300476.XSHE,300308.XSHE,688256.XSHG,002938.XSHE,600011.XSHG,000333.XSHE,002142.XSHE,601919.XSHG,601668.XSHG,600549.XSHG,300274.XSHE,301308.XSHE,600183.XSHG,688472.XSHG,002311.XSHE,300413.XSHE,000063.XSHE,300394.XSHE,600050.XSHG,601360.XSHG,603296.XSHG,600690.XSHG,002230.XSHE,601888.XSHG,000538.XSHE,601600.XSHG,300450.XSHE,600362.XSHG,002050.XSHE,002028.XSHE,002384.XSHE,002304.XSHE,000895.XSHE,600023.XSHG,601336.XSHG,605499.XSHG,300059.XSHE,603501.XSHG,688047.XSHG,000157.XSHE
