2025-01-31,002984.XSHE,600583.XSHG,002601.XSHE,002773.XSHE,600901.XSHG,600801.XSHG,601128.XSHG,002203.XSHE,002223.XSHE,601958.XSHG,601598.XSHG,601799.XSHG,002318.XSHE,600497.XSHG,002056.XSHE,002032.XSHE,000683.XSHE,000703.XSHE,601997.XSHG,000830.XSHE,600141.XSHG,600350.XSHG,600380.XSHG,000060.XSHE,000960.XSHE,603606.XSHG,603156.XSHG,688213.XSHG,600967.XSHG,300037.XSHE,002126.XSHE,600699.XSHG,689009.XSHG,605589.XSHG,000887.XSHE,688052.XSHG,688200.XSHG,002265.XSHE,002407.XSHE,000519.XSHE,000050.XSHE,603486.XSHG,603979.XSHG,600707.XSHG,002673.XSHE,600685.XSHG,002603.XSHE,002670.XSHE,600602.XSHG,600595.XSHG
2025-02-28,600995.XSHG,600985.XSHG,601118.XSHG,000591.XSHE,600871.XSHG,000800.XSHE,600801.XSHG,600177.XSHG,601991.XSHG,601966.XSHG,600141.XSHG,002984.XSHE,600339.XSHG,600598.XSHG,600582.XSHG,600170.XSHG,000703.XSHE,000088.XSHE,000960.XSHE,002078.XSHE,002120.XSHE,603858.XSHG,603077.XSHG,002487.XSHE,603568.XSHG,002461.XSHE,002508.XSHE,000027.XSHE,000060.XSHE,601611.XSHG,601598.XSHG,601228.XSHG,601212.XSHG,688708.XSHG,600377.XSHG,600483.XSHG,600166.XSHG,603565.XSHG,000729.XSHE,600754.XSHG,600517.XSHG,600392.XSHG,600021.XSHG,600008.XSHG,601106.XSHG,002773.XSHE,600497.XSHG,000528.XSHE,688520.XSHG,002797.XSHE
2025-03-31,688629.XSHG,002065.XSHE,300718.XSHE,688343.XSHG,300570.XSHE,600004.XSHG,600177.XSHG,600737.XSHG,600332.XSHG,600166.XSHG,600161.XSHG,600170.XSHG,600663.XSHG,600637.XSHG,600295.XSHG,600153.XSHG,600483.XSHG,600380.XSHG,600352.XSHG,601236.XSHG,601696.XSHG,601699.XSHG,601228.XSHG,000027.XSHE,601997.XSHG,601990.XSHG,600820.XSHG,002120.XSHE,601156.XSHG,600977.XSHG,601128.XSHG,000983.XSHE,600598.XSHG,000987.XSHE,600655.XSHG,600985.XSHG,601016.XSHG,601139.XSHG,603077.XSHG,601866.XSHG,601880.XSHG,601928.XSHG,601665.XSHG,000709.XSHE,002603.XSHE,002432.XSHE,000623.XSHE,000591.XSHE,600546.XSHG,601118.XSHG
2025-04-30,000785.XSHE,603338.XSHG,688708.XSHG,688772.XSHG,600008.XSHG,600098.XSHG,601577.XSHG,002223.XSHE,000027.XSHE,000429.XSHE,600332.XSHG,600350.XSHG,600132.XSHG,000598.XSHE,603589.XSHG,601997.XSHG,000883.XSHE,000703.XSHE,600977.XSHG,601128.XSHG,600737.XSHG,600901.XSHG,688120.XSHG,000786.XSHE,600153.XSHG,002430.XSHE,603000.XSHG,000723.XSHE,603087.XSHG,601666.XSHG,600256.XSHG,300285.XSHE,600377.XSHG,688301.XSHG,000661.XSHE,688385.XSHG,000831.XSHE,603885.XSHG,601699.XSHG,002335.XSHE,600763.XSHG,600637.XSHG,600062.XSHG,600685.XSHG,600516.XSHG,002318.XSHE,002461.XSHE,002465.XSHE,002568.XSHE,002517.XSHE
2025-05-31,300759.XSHE,002926.XSHE,002945.XSHE,002797.XSHE,002601.XSHE,002673.XSHE,002670.XSHE,600517.XSHG,600582.XSHG,002500.XSHE,600637.XSHG,600663.XSHG,600655.XSHG,600685.XSHG,600536.XSHG,600369.XSHG,600516.XSHG,600497.XSHG,600511.XSHG,002340.XSHE,002262.XSHE,002429.XSHE,600380.XSHG,600763.XSHG,600871.XSHG,600873.XSHG,600737.XSHG,002138.XSHE,002032.XSHE,002120.XSHE,002078.XSHE,000960.XSHE,002008.XSHE,002007.XSHE,600909.XSHG,600906.XSHG,600885.XSHG,600968.XSHG,000987.XSHE,600820.XSHG,600927.XSHG,600862.XSHG,601611.XSHG,601696.XSHG,000513.XSHE,000429.XSHE,601808.XSHG,000623.XSHE,000598.XSHE,000728.XSHE
2025-06-30,300724.XSHE,300679.XSHE,600021.XSHG,002984.XSHE,002966.XSHE,003031.XSHE,003022.XSHE,002738.XSHE,002756.XSHE,300001.XSHE,002831.XSHE,002841.XSHE,002939.XSHE,002945.XSHE,002673.XSHE,002601.XSHE,002508.XSHE,002797.XSHE,002500.XSHE,600655.XSHG,600578.XSHG,600688.XSHG,600704.XSHG,600848.XSHG,600873.XSHG,600985.XSHG,600707.XSHG,600582.XSHG,600583.XSHG,600637.XSHG,600598.XSHG,600536.XSHG,600517.XSHG,600511.XSHG,600516.XSHG,600546.XSHG,600497.XSHG,600483.XSHG,600563.XSHG,601001.XSHG,600998.XSHG,601016.XSHG,600498.XSHG,600977.XSHG,002423.XSHE,002409.XSHE,002407.XSHE,002340.XSHE,002461.XSHE,002444.XSHE
2025-07-31,001221.XSHE,600008.XSHG,600004.XSHG,600688.XSHG,002984.XSHE,002583.XSHE,002508.XSHE,002410.XSHE,600483.XSHG,600511.XSHG,300699.XSHE,002223.XSHE,601098.XSHG,000088.XSHE,600737.XSHG,601000.XSHG,000429.XSHE,000423.XSHE,000598.XSHE,000883.XSHE,000921.XSHE,000786.XSHE,000733.XSHE,001286.XSHE,002032.XSHE,002065.XSHE,600707.XSHG,600177.XSHG,600131.XSHG,601808.XSHG,603000.XSHG,601577.XSHG,601228.XSHG,600298.XSHG,300017.XSHE,600132.XSHG,603939.XSHG,603589.XSHG,603605.XSHG,603341.XSHG,603568.XSHG,688065.XSHG,601019.XSHG,688349.XSHG,688363.XSHG,688387.XSHG,000027.XSHE,601128.XSHG,600299.XSHG,688301.XSHG
2025-08-31,300699.XSHE,600004.XSHG,600008.XSHG,300676.XSHE,600032.XSHG,300627.XSHE,003035.XSHE,300001.XSHE,600582.XSHG,600707.XSHG,002508.XSHE,601098.XSHG,601019.XSHG,000937.XSHE,600598.XSHG,600516.XSHG,600642.XSHG,600483.XSHG,600398.XSHG,002223.XSHE,002271.XSHE,600511.XSHG,000883.XSHE,002025.XSHE,002032.XSHE,002007.XSHE,002078.XSHE,000932.XSHE,000893.XSHE,000921.XSHE,601016.XSHG,000729.XSHE,000825.XSHE,000800.XSHE,000591.XSHE,000786.XSHE,600848.XSHG,600754.XSHG,600873.XSHG,600871.XSHG,600995.XSHG,600927.XSHG,601106.XSHG,600256.XSHG,600098.XSHG,600166.XSHG,600177.XSHG,603589.XSHG,603568.XSHG,605589.XSHG
2025-09-30,300395.XSHE,600967.XSHG,600032.XSHG,600332.XSHG,600177.XSHG,600004.XSHG,601179.XSHG,601106.XSHG,600109.XSHG,600295.XSHG,000598.XSHE,000709.XSHE,000728.XSHE,000539.XSHE,000703.XSHE,601108.XSHG,601118.XSHG,601139.XSHG,600511.XSHG,601016.XSHG,000898.XSHE,000739.XSHE,600885.XSHG,688169.XSHG,002601.XSHE,002299.XSHE,601228.XSHG,600483.XSHG,600871.XSHG,688301.XSHG,000537.XSHE,601990.XSHG,000155.XSHE,001203.XSHE,000039.XSHE,000528.XSHE,600298.XSHG,600100.XSHG,603568.XSHG,600339.XSHG,600820.XSHG,600642.XSHG,003035.XSHE,002945.XSHE,600998.XSHG,601099.XSHG,000623.XSHE,000629.XSHE,600299.XSHG,000661.XSHE
2025-10-31,300558.XSHE,603444.XSHG,600062.XSHG,600004.XSHG,600177.XSHG,600153.XSHG,600109.XSHG,600098.XSHG,000800.XSHE,600132.XSHG,600131.XSHG,600161.XSHG,600032.XSHG,002797.XSHE,002984.XSHE,003035.XSHE,600298.XSHG,600483.XSHG,000598.XSHE,600332.XSHG,000738.XSHE,000728.XSHE,601000.XSHG,601098.XSHG,600968.XSHG,000750.XSHE,600927.XSHG,000591.XSHE,000582.XSHE,601139.XSHG,601118.XSHG,601156.XSHG,601108.XSHG,600998.XSHG,000537.XSHE,000088.XSHE,600873.XSHG,601236.XSHG,601866.XSHG,601928.XSHG,601966.XSHG,603000.XSHG,601228.XSHG,000937.XSHE,000883.XSHE,600862.XSHG,600906.XSHG,601808.XSHG,601990.XSHG,300339.XSHE
