exp,run_id,status,source,pool,seed,batch,legacy,smoke,git,rank_IC,IC,rankic_mean,p_le0,start_time
eval_all10d_ens3_all,216f347d675c4f3c82cf15dc89c1c60a,FINISHED,eval_backfill,all,,b-smoke-001,,,4d883bf3,,,0.08593621251596717,0.0,1787324641016
eval_all10d_ens3_hs300,845068ca7d7047aebeb9158b8384a858,FINISHED,eval_backfill,hs300,,,,,,,,0.036101621820426366,0.0501,1787324492614
eval_all10d_ens3_zz500,f0f1d6de451740dab2747250a3cbacb0,FINISHED,eval_backfill,zz500,,,,,,,,0.04084560153545164,0.0323,1787324493271
eval_all20d_hs300_subset,7ab5e74ffa604978b873dfc4ed6cbf22,FINISHED,eval_backfill,hs300,,,,,,,,0.04733696816280054,0.1122,1787324493919
eval_all20d_zz500_subset,33b9d48aee5346c297603719e2a686f7,FINISHED,eval_backfill,zz500,,,,,,,,0.0416415977065534,0.159,1787324494678
eval_e03_off_10d_hs300,9031786ced2e4e09ae8f58d1214bef37,FINISHED,eval_backfill,,,,,,,,,,,1787324495347
eval_e16_top50_10d21_zz500,b4d1739ef719405490debd2e38b47afb,FINISHED,eval_backfill,,,,,,,,,,,1787324495836
eval_ens4_10d21_hs300,9e01ef3bfdef49a98e58992ded3a7c5c,FINISHED,eval_backfill,,,,,,,,,,,1787324496313
eval_ens4_10d21_zz500,c5f35fddb30348b2824aea7e5908d32a,FINISHED,eval_backfill,,,,,,,,,,,1787324496811
eval_ens4_10d_hs300,7daa59dd3b294dfcb35136f1e4b57ca7,FINISHED,eval_backfill,,,,,,,,,,,1787324497386
eval_ens4_10d_zz500,30550c08642040fd8f6a7668ec5708be,FINISHED,eval_backfill,,,,,,,,,,,1787324497874
eval_ens4_15d21_hs300,7cc494de447541578852a1302910119d,FINISHED,eval_backfill,,,,,,,,,,,1787324498370
eval_ens4_1d_hs300,4dbec7fef2cc4d0d8b9c5a1d53a0b3bc,FINISHED,eval_backfill,,,,,,,,,,,1787324498918
eval_ens_1d_hs300,f53fbd0f6bc6492eacfc6e54e8c4fd08,FINISHED,eval_backfill,,,,,,,,,,,1787324499413
eval_roll10c_hs300,369138b6e33a4c98aecd5985cb191d82,FINISHED,eval_backfill,,,,,,,,,,,1787324500010
eval_roll10c_zz500,ce2c9ffdfe424e6a9dcada11d1a05362,FINISHED,eval_backfill,,,,,,,,,,,1787324500516
legacy_e00_robust_1d_hs300,64dd9f0f891b429bb7661e0350ba5ab7,FINISHED,legacy_backfill,hs300,,,true,,53bf0f2,0.0066523690628528115,-0.0019253690268763652,,,1787324402918
legacy_e01_off_1d_hs300,5d86b43381fc4ad4be379bf2c8175721,FINISHED,legacy_backfill,hs300,,,true,,53bf0f2,,,,,1787324403510
legacy_e01_off_1d_zz500,dab630a3b28f41ce907cd1a6d7dcbf93,FINISHED,legacy_backfill,zz500,,,true,,53bf0f2,0.013667542709303078,-0.005455895860735645,,,1787324403883
legacy_e02_off_5d_hs300,9e3f824b8ed244119618e414d27cb3c9,FINISHED,legacy_backfill,hs300,,,true,,53bf0f2,0.021693298819697095,0.004868935490640613,,,1787324404364
legacy_e02_off_5d_zz500,dd3e2309b6e94ee7821299e2f8a788ad,FINISHED,legacy_backfill,zz500,,,true,,53bf0f2,0.026008142456909755,-0.0020624694775372245,,,1787324404841
legacy_e03_off_10d_hs300,4b491235cc1444c0af1a70eb8806f705,FINISHED,legacy_backfill,hs300,,b-smoke-001,true,,4d883bf3,0.02282035472779477,0.002337039101014838,,,1787324637301
legacy_e03_off_10d_zz500,2e477324c47641e0babb2abc319d0a37,FINISHED,legacy_backfill,zz500,,,true,,53bf0f2,0.029173439772441905,0.004321185133959686,,,1787324405787
legacy_e04_off_20d_hs300,f0522a3aea3e425495507bf0b413a63c,FINISHED,legacy_backfill,hs300,,,true,,53bf0f2,0.013672802687101906,-0.006839202642435919,,,1787324406272
legacy_e04_off_20d_zz500,668ac5cf077b4173a0e2825fa20b2da6,FINISHED,legacy_backfill,zz500,,,true,,53bf0f2,0.025815616939586183,0.0007680479533291418,,,1787324406818
legacy_e05_off_1d_dart_hs300,66cd27bf8609414fa731d92b6dbaeabf,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.016882593751278437,0.00758381641374644,,,1787324407267
legacy_e06_off_1d_small_hs300,96a492daf2114a56980d793c86fd658e,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.016444580395131452,0.006236616789587429,,,1787324407799
legacy_e071_off_1d_seed100_hs300,6f7bb033500f4f2aafba9c4ae6bddbae,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.013792970784044196,-0.000261349982903797,,,1787324408263
legacy_e072_off_1d_seed200_hs300,d1aaa991d55b474a8700ce9d9e408626,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.01683322004841932,0.0023604833464394657,,,1787324408789
legacy_e073_off_1d_seed300_hs300,f825baf1d99c41ff8b1bafd6a86306b5,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.018507249036276107,0.000369559750463407,,,1787324409267
legacy_e081_off_10d_seed100_hs300,ca78779b488e42bcb0baf060bf7338cd,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.016275986730489217,-0.0002857998562243595,,,1787324409810
legacy_e081_off_10d_seed100_zz500,175eacf4a09241b7a63c258b8fb58195,FINISHED,legacy_backfill,zz500,,,true,,042f2b3,0.0356278134118219,0.004546110775805706,,,1787324410299
legacy_e082_off_10d_seed200_hs300,3e9427a5c49945b19fe4a6855e4f1620,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.016213198544564794,-0.0037653431560722745,,,1787324410814
legacy_e082_off_10d_seed200_zz500,ef5c11cf649f431d9773a61529c3510c,FINISHED,legacy_backfill,zz500,,,true,,042f2b3,0.0213549097102882,0.002977805866081282,,,1787324411344
legacy_e083_off_10d_seed300_hs300,400d80f8b4fe459c8316e2c0f54d9973,FINISHED,legacy_backfill,hs300,,,true,,042f2b3,0.01323516884031574,-0.00552999404656397,,,1787324411831
legacy_e083_off_10d_seed300_zz500,d80788f9339d44af8c5a5b381c0d7f8c,FINISHED,legacy_backfill,zz500,,,true,,042f2b3,0.03238634953221297,0.00616313997631745,,,1787324412342
legacy_e11_off_1d_21_hs300,b5a8b07ac7de4f20aa6640d6955084f1,FINISHED,legacy_backfill,hs300,,,true,,a14b17a,0.02309050115784389,0.009107857165230384,,,1787324412907
